WIN,POST,YEAR,TEAM,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ERA,W,L,SV,HLD,WPCT,IP,H_A,HR_A,BB_A,HBP_A,SO_A,R_A,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG_A,2B_A,3B_A,SAC_A,SF_A,IBB_A,WP,BK,E,PKO,PO,A,DP,FPCT,PB,SB_A,CS_A,CS%,SBA,SB,CS,SB%,OOB,PKO_1
N,N,2019,삼성,0.256,144,5533,4866,622,1245,230,26,122,1893,598,58,53,478,15,78,976,107,0.389,0.329,0.718,143,0.254,0.204,4.64,60,83,29,60,0.42,1275.33,1332,125,523,70,924,731,658,1.45,4,8,54,15,5638,21721,0.269,253,37,40,56,9,49,5,105,4,3826,1370,132,0.98,9,90,38,29.7,149,107,42,71.8,45,7
N,N,2019,롯데,0.25,144,5488,4919,578,1231,214,22,90,1759,545,35,40,429,12,65,1085,108,0.358,0.316,0.674,144,0.25,0.193,4.83,48,93,16,47,0.34,1271,1407,120,546,71,1033,764,682,1.54,1,8,47,17,5729,21946,0.282,242,20,58,64,33,103,4,114,8,3813,1432,131,0.979,11,91,44,32.6,96,65,31,67.7,49,8
Y,Y,2020,두산,0.293,144,5776,5046,816,1477,263,20,125,2155,778,38,73,551,20,68,796,132,0.427,0.365,0.792,142,0.291,0.246,4.31,79,61,23,45,0.564,1285.66,1395,109,478,61,1046,695,616,1.46,1,13,63,15,5681,22408,0.276,258,25,48,41,22,52,4,85,10,3857,1282,126,0.984,6,91,25,21.6,125,88,37,70.4,63,4
N,Y,2020,NC,0.291,144,5833,5102,888,1483,258,28,187,2358,845,46,51,529,21,104,997,106,0.462,0.366,0.828,144,0.33,0.286,4.58,83,55,31,88,0.601,1296.66,1292,153,547,79,1049,714,660,1.42,0,7,59,19,5690,22362,0.26,199,15,53,35,10,65,7,87,9,3890,1294,120,0.983,10,49,42,46.2,139,101,38,72.7,49,7
N,Y,2020,KT,0.284,144,5762,5047,813,1432,238,21,163,2201,767,64,45,554,20,52,1097,104,0.436,0.358,0.794,144,0.289,0.192,4.54,81,62,33,71,0.566,1290.33,1357,118,523,59,848,715,651,1.46,0,5,56,23,5680,21496,0.271,227,9,45,48,20,75,1,102,4,3871,1486,154,0.981,10,75,21,21.9,156,106,50,67.9,49,6
N,Y,2020,LG,0.277,144,5681,4999,802,1384,253,29,149,2142,760,49,49,509,21,75,969,115,0.428,0.349,0.777,144,0.31,0.223,4.37,79,61,29,67,0.564,1292.66,1344,123,493,86,1019,694,627,1.42,2,13,70,19,5655,21725,0.27,240,17,38,56,12,49,4,80,6,3878,1460,156,0.985,9,89,36,28.8,122,83,39,68,64,5
N,N,2020,롯데,0.276,144,5669,4958,750,1366,252,6,131,2023,711,39,48,569,18,55,875,148,0.408,0.353,0.761,144,0.283,0.216,4.64,71,72,25,59,0.497,1277.33,1351,143,447,58,1002,720,659,1.41,1,16,59,18,5583,21520,0.271,241,17,51,40,25,62,4,94,3,3832,1444,124,0.982,7,95,28,22.8,121,90,31,74.4,52,3
N,N,2020,KIA,0.274,144,5642,4937,724,1355,224,13,130,1995,692,63,38,535,10,69,957,114,0.404,0.351,0.755,144,0.284,0.258,5.13,73,71,33,79,0.507,1270,1399,120,559,70,1038,795,724,1.54,1,5,57,18,5681,22134,0.284,265,34,59,59,8,78,4,100,7,3810,1480,169,0.981,10,82,46,35.9,72,47,25,65.3,47,6
N,Y,2020,키움,0.269,144,5721,4945,759,1332,254,25,127,2017,713,43,52,608,16,73,1030,107,0.408,0.355,0.763,144,0.281,0.211,4.39,80,63,42,81,0.559,1280.33,1336,126,446,73,950,692,624,1.39,0,6,53,18,5556,21349,0.27,208,15,50,39,16,51,7,112,15,3841,1544,143,0.98,8,87,39,31,140,113,27,80.7,40,11
N,N,2020,삼성,0.268,144,5574,4923,699,1317,211,12,129,1939,658,50,53,486,10,62,990,117,0.394,0.338,0.732,144,0.272,0.26,4.78,64,75,25,80,0.46,1272.33,1330,151,542,67,931,745,676,1.47,3,11,53,19,5634,22269,0.27,222,16,50,47,16,55,5,102,9,3817,1310,126,0.98,6,57,38,40,181,132,49,72.9,42,14
N,N,2020,SK,0.25,144,5502,4839,634,1212,177,17,143,1852,595,49,34,511,18,69,981,112,0.383,0.329,0.712,144,0.254,0.203,5.57,51,92,20,53,0.357,1259.33,1343,162,670,84,953,846,780,1.6,1,3,47,19,5727,22729,0.275,225,17,41,46,12,85,5,99,6,3778,1326,139,0.981,6,129,57,30.6,126,81,45,64.3,44,16
N,N,2020,한화,0.245,144,5483,4862,551,1189,195,12,79,1645,523,45,25,462,9,89,1163,119,0.338,0.32,0.658,144,0.245,0.22,5.28,46,95,21,54,0.326,1265,1400,158,609,79,1019,820,742,1.59,1,6,40,15,5756,22882,0.282,240,18,51,57,22,76,5,100,7,3795,1279,133,0.981,10,120,45,27.3,87,51,36,58.6,43,4
N,N,2021,롯데,0.278,144,5726,5009,727,1393,266,10,107,2000,697,38,46,579,19,54,969,114,0.399,0.356,0.755,144,0.286,0.253,5.37,65,71,37,76,0.478,1271,1333,133,659,87,1054,808,758,1.57,1,12,46,15,5759,22835,0.271,253,16,53,40,19,102,5,85,9,3813,1403,123,0.984,8,101,44,30.3,91,60,31,65.9,54,8
N,Y,2021,두산,0.268,144,5645,4900,738,1314,235,17,110,1913,698,46,53,560,13,86,943,137,0.39,0.35,0.74,143,0.29,0.259,4.26,71,65,28,61,0.522,1269.33,1295,104,587,73,1045,656,601,1.48,2,10,55,15,5631,22163,0.267,212,21,61,61,16,52,7,89,8,3808,1296,120,0.983,10,83,48,36.6,118,81,37,68.6,48,11
N,Y,2021,삼성,0.267,144,5552,4836,712,1292,204,18,133,1931,669,48,68,545,21,55,902,98,0.399,0.344,0.743,144,0.265,0.213,4.3,76,59,46,80,0.563,1259,1297,131,530,51,1038,658,601,1.45,2,14,66,13,5536,21926,0.266,230,24,45,36,13,58,3,88,6,3777,1335,130,0.983,5,61,26,29.9,160,116,44,72.5,47,7
Y,Y,2021,KT,0.265,144,5627,4810,719,1276,219,11,106,1835,673,69,44,645,27,58,1047,105,0.381,0.356,0.737,142,0.27,0.224,3.67,76,59,33,74,0.563,1264,1176,86,489,42,1062,584,515,1.32,2,6,76,16,5397,20893,0.246,184,13,46,48,18,56,1,112,7,3792,1466,133,0.979,7,93,31,25,158,112,46,70.9,50,6
N,N,2021,SSG,0.261,144,5736,4899,755,1278,204,13,185,2063,712,55,52,637,23,93,1056,106,0.421,0.353,0.774,143,0.261,0.259,4.82,66,64,25,56,0.508,1276.66,1296,149,629,78,1012,741,684,1.51,0,5,42,24,5706,22459,0.265,214,14,54,50,27,41,9,102,14,3830,1409,123,0.981,12,105,46,30.5,143,100,43,69.9,42,3
N,N,2021,NC,0.261,144,5532,4808,702,1254,203,17,170,2001,670,59,43,511,14,111,1093,94,0.416,0.343,0.759,143,0.26,0.224,4.54,67,68,33,80,0.496,1256.66,1268,125,592,77,1055,697,634,1.48,3,10,53,18,5622,22346,0.26,231,15,34,41,14,75,8,111,4,3770,1292,105,0.979,5,84,40,32.3,147,101,46,68.7,39,9
N,Y,2021,키움,0.259,144,5653,4874,722,1262,244,28,91,1835,671,35,56,595,17,93,1053,93,0.376,0.347,0.723,143,0.279,0.227,4.31,70,67,30,56,0.511,1263.33,1281,101,566,80,900,700,605,1.46,1,7,57,16,5599,21670,0.264,223,7,55,48,27,59,4,129,14,3790,1532,152,0.976,5,85,35,29.2,123,97,26,78.9,39,3
N,Y,2021,LG,0.25,144,5533,4750,654,1188,210,11,110,1750,621,52,45,592,16,94,926,102,0.368,0.342,0.71,143,0.253,0.269,3.57,72,58,32,81,0.554,1272.33,1126,80,545,98,1068,561,505,1.31,0,18,50,14,5453,21456,0.238,197,18,45,43,18,43,5,91,4,3817,1481,147,0.983,12,98,40,29,126,92,34,73,43,15
N,N,2021,KIA,0.248,144,5577,4831,568,1198,183,21,66,1621,546,41,37,595,16,73,921,119,0.336,0.337,0.673,143,0.263,0.203,4.89,58,76,36,94,0.433,1269,1286,134,622,104,951,752,690,1.5,1,6,39,16,5701,22375,0.265,214,16,58,63,5,59,9,110,9,3807,1368,139,0.979,10,92,43,31.9,104,73,31,70.2,46,8
N,N,2021,한화,0.237,144,5495,4685,599,1111,213,17,80,1598,554,54,49,633,14,74,1286,110,0.341,0.334,0.675,143,0.248,0.195,4.65,49,83,21,62,0.371,1258.66,1208,115,673,101,1011,739,650,1.49,1,6,41,19,5672,22852,0.252,223,19,46,63,23,56,11,120,7,3776,1262,121,0.977,7,111,41,27,165,109,56,66.1,59,14
